Store,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
1,2010-03-12,57.79,2.667,,,,,,211.3806429,8.106,False
1,2010-05-28,80.44,2.759,,,,,,210.8967606,7.808,False
1,2010-05-28,80.44,2.759,,,,,,210.8967606,7.808,False
1,2010-07-02,80.91,2.669,,,,,,211.2235333,7.787,False
1,2010-08-06,87.16,2.627,,,,,,211.5046621,7.787,False
1,2010-10-01,71.89,2.603,,,,,,211.6719895,7.838,False
1,2010-10-08,63.93,2.633,,,,,,211.7467544,7.838,False
1,2010-12-24,52.33,2.886,,,,,,211.4051222,7.838,False
1,2011-01-07,48.27,2.976,,,,,,211.4047419,7.742,False
1,2011-05-20,67.63,3.907,,,,,,215.7339202,7.682,False
1,2011-06-17,86.41,3.637,,,,,,214.9980596,7.682,False
1,2011-07-15,88.54,3.575,,,,,,215.3611087,7.962,False
1,2011-07-22,85.77,3.651,,,,,,215.4222784,7.962,False
1,2011-08-26,87.96,3.523,,,,,,215.7332258,7.962,False
1,2011-10-07,69.31,3.285,,,,,,217.0453684,7.866,False
1,2011-10-07,69.31,3.285,,,,,,217.0453684,7.866,False
1,2011-10-21,63.71,3.353,,,,,,217.5159762,7.866,False
1,2011-11-11,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,False
1,2011-11-18,62.25,3.308,6074.12,254.39,51.98,427.39,5988.57,218.2205088,7.866,False
1,2012-01-27,54.26,3.29,1164.46,1082.74,44.0,11.0,1222.19,220.0788523,7.348,False
1,2012-03-23,65.93,3.787,6118.56,9.48,4.97,426.72,3657.22,221.2864126,7.348,False
1,2012-04-13,69.07,3.891,6186.19,3288.69,17.07,1822.55,1063.78,221.5102105,7.143,False
1,2012-04-13,69.07,3.891,6186.19,3288.69,17.07,1822.55,1063.78,221.5102105,7.143,False
1,2012-06-15,79.35,3.393,5621.99,109.6,0.25,2420.28,3083.26,221.7626421,7.143,False
1,2012-08-03,86.11,3.417,27584.78,119.98,30.23,12007.04,4661.71,221.9498642,6.908,False
1,2012-08-10,85.05,3.494,11436.22,245.0,6.85,6964.26,4836.22,221.9584329,6.908,False
2,2010-04-16,68.07,2.808,,,,,,210.1495463,8.2,False
2,2010-05-28,81.13,2.759,,,,,,210.5552301,8.2,False
2,2010-07-23,87.66,2.608,,,,,,210.8921319,8.099,False
2,2010-09-17,82.05,2.582,,,,,,211.1806415,8.099,False
2,2010-11-05,57.85,2.689,,,,,,211.6135053,8.163,False
2,2010-12-10,45.5,2.843,,,,,,211.1247993,8.163,False
2,2010-12-17,47.55,2.869,,,,,,211.0645458,8.163,False
2,2011-03-18,62.32,3.488,,,,,,214.0156238,8.028,False
2,2011-03-18,62.32,3.488,,,,,,214.0156238,8.028,False
2,2011-04-01,55.43,3.524,,,,,,214.4886908,7.931,False
2,2011-05-27,76.42,3.786,,,,,,215.1544822,7.931,False
2,2011-07-01,85.69,3.524,,,,,,214.8368678,7.852,False
2,2011-07-08,87.7,3.48,,,,,,214.9296249,7.852,False
2,2011-08-26,90.45,3.523,,,,,,215.386897,7.852,False
2,2011-11-18,62.01,3.308,6490.92,1217.76,152.12,873.82,7656.42,217.8670218,7.441,False
2,2011-12-02,48.74,3.172,8010.99,83.47,1897.27,4444.0,28238.93,218.3590319,7.441,False
2,2011-12-23,46.66,3.112,2971.04,15.18,1501.75,88.76,6437.61,218.9995495,7.441,False
2,2012-02-03,55.21,3.36,75149.79,3818.85,221.4,48159.86,7423.61,219.8118854,7.057,False
2,2012-03-02,58.79,3.63,23901.27,2144.7,9.0,9799.63,4929.53,220.4866886,7.057,False
2,2012-03-02,58.79,3.63,23901.27,2144.7,9.0,9799.63,4929.53,220.4866886,7.057,False
2,2012-03-09,57.11,3.669,11784.91,368.32,3.0,2498.17,7746.0,220.6974332,7.057,False
2,2012-04-20,65.69,3.877,7311.02,2236.2,33.53,878.07,4080.32,221.2021074,6.891,False
2,2012-04-20,65.69,3.877,7311.02,2236.2,33.53,878.07,4080.32,221.2021074,6.891,False
2,2012-04-27,67.2,3.814,3076.68,,38.32,108.71,2708.9,221.255812,6.891,False
2,2012-05-25,78.19,3.561,10701.32,,1030.53,3595.04,14920.27,221.3828029,6.891,False
2,2012-06-08,78.69,3.452,12162.04,463.6,78.39,3610.78,10877.64,221.3877467,6.891,False
2,2012-07-13,80.17,3.256,8354.65,342.25,20.53,5674.44,5012.22,221.5616784,6.565,False
2,2012-08-31,82.64,3.638,17500.26,73.22,21.38,12878.62,4756.5,221.9415576,6.565,False
2,2012-09-28,79.45,3.666,7106.05,1.91,1.65,1549.1,3946.03,222.6164329,6.565,False
2,2012-09-28,79.45,3.666,7106.05,1.91,1.65,1549.1,3946.03,222.6164329,6.565,False
2,2012-10-12,60.97,3.601,2145.5,,33.31,586.83,10421.01,223.0154263,6.17,False
3,2010-02-05,45.71,2.572,,,,,,214.4248812,7.368,False
3,2010-02-26,52.05,2.561,,,,,,214.6475127,7.368,False
3,2010-05-21,75.81,2.826,,,,,,213.9116886,7.343,False
3,2010-05-21,75.81,2.826,,,,,,213.9116886,7.343,False
3,2010-07-16,84.32,2.623,,,,,,214.4176476,7.346,False
3,2010-11-12,62.79,2.728,,,,,,215.3256258,7.564,False
3,2010-12-03,53.76,2.708,,,,,,214.9153531,7.564,False
3,2010-12-31,53.2,2.943,,,,,,214.6986466,7.564,True
3,2011-04-15,75.88,3.743,,,,,,218.6788642,7.574,False
3,2011-04-22,76.91,3.807,,,,,,218.851237,7.574,False
3,2011-04-29,78.69,3.81,,,,,,219.0236099,7.574,False
3,2011-05-13,79.87,3.899,,,,,,219.3683556,7.574,False
3,2011-09-09,81.72,3.546,,,,,,219.2135305,7.567,True
3,2011-12-23,53.41,3.112,89.98,0.24,411.52,,586.66,222.8258628,7.197,False
3,2011-12-30,48.29,3.129,1449.16,14356.07,66.66,81.43,777.35,223.0090839,7.197,True
3,2012-01-13,51.86,3.261,3927.76,3323.64,,226.97,1725.19,223.3755259,6.833,False
3,2012-02-17,52.39,3.51,2706.87,3128.74,1.88,2396.68,1631.28,223.9170153,6.833,False
3,2012-03-16,64.0,3.734,2588.06,80.89,3.2,909.76,491.83,224.7166953,6.833,False
3,2012-04-20,72.05,3.877,2784.82,130.68,1.75,425.29,904.8,225.0689541,6.664,False
3,2012-05-11,75.19,3.688,3794.95,,0.25,813.77,618.46,225.2351496,6.664,False
3,2012-08-17,87.36,3.571,990.08,44.2,,401.46,430.69,225.5558664,6.334,False
4,2010-03-12,49.63,2.704,,,,,,126.6042857,8.623,False
4,2010-03-12,49.63,2.704,,,,,,126.6042857,8.623,False
4,2010-04-23,56.87,2.805,,,,,,126.4713333,7.896,False
4,2010-06-18,81.53,2.635,,,,,,126.114,7.896,False
4,2010-07-09,80.35,2.637,,,,,,126.1518,7.372,False
4,2010-07-23,79.78,2.612,,,,,,126.1283548,7.372,False
4,2010-09-10,73.54,2.574,,,,,,126.1145806,7.372,True
4,2010-12-17,46.57,2.884,,,,,,126.8794839,7.127,False
4,2010-12-17,46.57,2.884,,,,,,126.8794839,7.127,False
4,2011-01-21,38.34,3.017,,,,,,127.4404839,6.51,False
4,2011-04-22,68.8,3.781,,,,,,128.9553,5.946,False
4,2011-04-22,68.8,3.781,,,,,,128.9553,5.946,False
4,2011-06-24,81.85,3.57,,,,,,129.0663,5.946,False
4,2011-08-12,82.98,3.617,,,,,,129.2015806,5.644,False
4,2011-09-16,72.76,3.532,,,,,,129.4306,5.644,False
4,2011-10-28,55.31,3.362,,,,,,129.7936774,5.143,False
4,2011-10-28,55.31,3.362,,,,,,129.7936774,5.143,False
4,2011-11-11,47.12,3.286,12851.52,16658.47,430.13,5630.01,9213.39,129.8167097,5.143,False
4,2011-11-18,50.44,3.294,4539.94,840.56,372.9,613.96,5358.13,129.8268333,5.143,False
4,2011-11-18,50.44,3.294,4539.94,840.56,372.9,613.96,5358.13,129.8268333,5.143,False
4,2011-12-02,38.71,3.176,9762.39,160.94,2260.29,4767.86,28604.2,129.8459667,5.143,False
4,2012-01-27,40.31,3.29,1346.06,3740.12,46.16,445.47,2451.89,130.3144516,4.607,False
4,2012-03-23,59.07,3.759,8806.8,-10.5,5.99,739.14,4396.97,130.8966452,4.607,False
4,2012-04-27,76.47,3.81,3993.66,97.77,26.68,113.37,3947.45,131.1266667,4.308,False
4,2012-04-27,76.47,3.81,3993.66,97.77,26.68,113.37,3947.45,131.1266667,4.308,False
4,2012-07-20,79.14,3.263,4799.23,47.55,30.56,634.78,4648.91,130.7012903,4.077,False
4,2012-09-14,68.2,3.706,13802.34,,23.12,3643.77,12517.18,130.9776667,4.077,False
5,2010-03-19,55.46,2.72,,,,,,211.770897,6.566,False
5,2010-06-25,83.72,2.653,,,,,,211.8960815,6.465,False
5,2010-08-20,87.71,2.664,,,,,,212.1608984,6.496,False
5,2010-08-20,87.71,2.664,,,,,,212.1608984,6.496,False
5,2010-09-10,79.86,2.565,,,,,,212.0499271,6.496,True
5,2010-10-08,64.99,2.633,,,,,,212.3019522,6.768,False
5,2010-12-03,51.31,2.708,,,,,,212.1613951,6.768,False
5,2011-01-14,37.74,2.983,,,,,,212.008514,6.634,False
5,2011-02-11,38.25,3.022,,,,,,213.4944627,6.634,True
5,2011-04-01,61.5,3.524,,,,,,215.4024406,6.489,False
5,2011-05-13,77.38,3.899,,,,,,216.5343611,6.489,False
5,2011-06-03,83.81,3.699,,,,,,215.8384319,6.489,False
5,2011-07-01,85.81,3.524,,,,,,215.7474537,6.529,False
5,2011-08-26,89.18,3.523,,,,,,216.2950176,6.529,False
5,2011-10-07,71.64,3.285,,,,,,217.6123648,6.3,False
5,2011-10-07,71.64,3.285,,,,,,217.6123648,6.3,False
5,2011-10-21,66.9,3.353,,,,,,218.0852999,6.3,False
5,2011-10-21,66.9,3.353,,,,,,218.0852999,6.3,False
5,2011-10-28,69.27,3.372,,,,,,218.2468539,6.3,False
5,2011-11-18,64.33,3.308,952.21,116.11,95.01,295.13,4368.45,218.793912,6.3,False
5,2011-12-09,44.12,3.158,2546.5,,83.07,523.27,3118.64,219.540637,6.3,False
5,2012-01-20,54.65,3.268,761.25,2100.24,,132.63,1276.75,220.5694104,5.943,False
5,2012-05-18,70.45,3.63,2639.05,,65.34,243.73,2119.63,222.330443,5.801,False
5,2012-06-01,79.72,3.501,2840.78,,41.58,393.41,2114.0,222.3343277,5.801,False
5,2012-06-29,87.08,3.286,1053.25,12.75,,113.8,1300.11,222.4307191,5.801,False
5,2012-08-03,86.91,3.417,7365.26,14.48,0.7,3640.7,2517.31,222.5385111,5.603,False
5,2012-09-14,76.65,3.717,2027.18,4.0,4.55,1354.97,3535.01,223.1734167,5.603,False
5,2012-09-21,71.09,3.721,3033.26,5.73,1.1,83.82,4579.05,223.3737593,5.603,False
5,2012-10-05,71.17,3.617,2048.94,,6.02,1121.58,2070.87,223.7744444,5.422,False
5,2012-10-12,66.24,3.601,1355.87,,4.0,453.98,3562.36,223.974787,5.422,False
5,2012-10-19,69.17,3.594,908.91,,,,709.95,224.0192873,5.422,False
6,2010-02-05,40.43,2.572,,,,,,212.6223518,7.259,False
6,2010-03-12,58.82,2.667,,,,,,212.9037017,7.259,False
6,2010-03-12,58.82,2.667,,,,,,212.9037017,7.259,False
6,2010-03-19,56.55,2.72,,,,,,212.7351935,7.259,False
6,2010-05-07,73.68,2.835,,,,,,211.8442706,7.092,False
6,2010-05-21,74.8,2.826,,,,,,212.1275324,7.092,False
6,2010-05-28,78.89,2.759,,,,,,212.412888,7.092,False
6,2010-09-24,76.49,2.624,,,,,,213.1152886,6.973,False
6,2010-10-22,70.97,2.725,,,,,,213.3820486,7.007,False
6,2011-02-11,39.38,3.022,,,,,,214.4630941,6.858,True
6,2011-03-18,65.07,3.488,,,,,,215.9035078,6.858,False
6,2011-07-01,87.0,3.524,,,,,,216.7257388,6.925,False
6,2011-07-15,88.93,3.575,,,,,,216.9044732,6.925,False
6,2011-11-11,61.33,3.297,12590.41,2173.66,123.2,3108.55,5416.96,219.5631135,6.551,False
6,2012-01-13,48.33,3.261,4779.48,11967.81,65.72,575.13,4512.18,221.4893412,6.132,False
6,2012-02-17,49.03,3.51,13182.32,15299.89,12.82,6129.29,7603.05,222.026359,6.132,False
6,2012-05-11,72.66,3.688,10658.74,,133.22,3312.9,9700.64,223.3346212,5.964,False
6,2012-06-01,80.39,3.501,8267.68,16.0,441.83,1904.81,3517.55,223.3539397,5.964,False
6,2012-08-10,87.04,3.494,5750.2,187.04,5.21,3920.14,7505.63,223.5699533,5.668,False
6,2012-09-07,86.33,3.73,14105.12,47.96,24.6,3040.62,3558.18,224.0560076,5.668,True
6,2012-10-19,69.68,3.594,1476.45,,3.1,31.32,4080.57,225.0501013,5.329,False
7,2010-02-19,27.28,2.55,,,,,,189.5340998,9.014,False
7,2010-05-07,40.07,2.771,,,,,,189.5312483,8.963,False
7,2010-07-09,58.0,2.711,,,,,,189.5231276,9.017,False
7,2010-08-13,60.13,2.723,,,,,,190.2611552,9.017,False
7,2010-08-20,59.59,2.732,,,,,,190.2948237,9.017,False
7,2010-10-15,35.86,2.762,,,,,,190.8623087,9.137,False
7,2010-10-29,34.78,2.748,,,,,,190.951728,9.137,False
7,2010-12-03,21.88,2.712,,,,,,190.9931437,9.137,False
7,2011-01-28,10.11,3.008,,,,,,191.667891,8.818,False
7,2011-02-25,17.46,3.101,,,,,,191.9647167,8.818,False
7,2011-03-25,25.69,3.414,,,,,,192.1964844,8.818,False
7,2011-04-01,24.83,3.461,,,,,,192.2691707,8.595,False
7,2011-04-22,31.84,3.636,,,,,,192.5234638,8.595,False
7,2011-06-24,46.85,3.661,,,,,,192.9982655,8.595,False
7,2011-08-12,54.56,3.542,,,,,,194.1105017,8.622,False
7,2011-11-18,29.53,3.479,3221.47,1229.96,7.35,494.15,3947.57,195.7184713,8.513,False
7,2012-01-06,18.67,3.095,2373.44,11519.36,7.26,162.72,4504.47,196.5458309,8.256,False
7,2012-01-20,27.41,3.055,1967.73,2791.5,0.73,213.86,4297.27,196.7796652,8.256,False
